Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,12,-VII,5,6.18517723479278,3.70148022458536,-VII,5,6.18517723479278,3.70148022458536,
1,13,I,3,4.30632368612301,4.51167448234185,I,3,4.30632368612301,4.51167448234185,
1,14,I,3,2.4396072825074,4.92442743184559,I,3,2.4396072825074,4.92442743184559,
1,15,vi,4,4.7300264687353,5.22093896945413,vi,4,4.7300264687353,5.22093896945413,
1,16,I,4,4.48257171112811,4.99592459400142,I,4,4.48257171112811,4.99592459400142,
1,17,IV,4,2.40221269678976,4.1357696972539,vi,4,2.39590085772067,4.1357696972539,0.00631183906909438
1,18,ii,5,6.37796130740665,3.34027090148247,ii,5,4.63916583685783,4.48118818193753,
1,19,-VI,3,6.65419782638527,4.66519085470822,-VI,4,7.35363339158837,2.74188640724712,
1,20,V,2,2.92936015203589,5.09167743060912,V,3,3.34087094037107,4.45769433309456,
1,21,I,3,2.93968459931211,4.54396389233006,I,3,2.93968459931211,4.54396389233006,
1,22,I,4,4.28402988856582,5.01112150957595,I,4,4.28402988856582,5.01112150957595,
,,,,,,,,,,
2,91,-VII,5,6.18517723479278,3.70148022458536,-VII,5,6.18517723479278,3.70148022458536,
2,92,I,3,4.30632368612301,4.51167448234185,I,3,4.30632368612301,4.51167448234185,
2,93,I,3,2.4396072825074,4.92442743184559,I,3,2.4396072825074,4.92442743184559,
2,94,vi,4,4.7300264687353,5.22093896945413,vi,4,4.7300264687353,5.22093896945413,
2,95,I,4,4.48257171112811,4.99592459400142,I,4,4.48257171112811,4.99592459400142,
2,96,IV,4,2.40221269678976,4.1357696972539,vi,4,2.39590085772067,4.1357696972539,0.00631183906909438
2,97,-VII,5,6.35025567210312,3.34027090148247,-VII,5,5.72056583744936,4.48118818193753,
2,98,ii,3,5.05245182830152,5.20950372495046,ii,3,4.28774973238803,4.92208377596413,
2,99,V,4,5.64946781852991,3.87399121926525,V,3,5.32656297729505,4.24810932171974,
2,100,r,2,2.87288827525158,5.32381380901053,r,2,2.87288827525158,5.32381380901053,
2,101,I,3,1.5277879256509,3.03857917800618,I,3,1.5277879256509,3.03857917800618,
,,,,,,,,,,
3,72,I,5,2.75650160527407,4.49043657768919,I,5,2.75650160527407,4.49043657768919,
3,73,I,5,3.81939262899466,4.69728396500596,I,5,3.81939262899466,4.69728396500596,
3,74,IV,5,4.92308093259256,5.07335777310489,IV,5,4.92308093259256,5.07335777310489,
3,75,iv,4,3.77547063679548,5.14798892148302,iv,4,3.77547063679548,5.14798892148302,
3,76,I,5,2.23817461603933,4.12063100990781,I,5,2.23817461603933,4.12063100990781,
3,77,IV,5,4.53541314074251,4.92551418731393,iv,5,4.54665053072373,4.92551418731393,0.0112373899812201
3,78,I,5,3.07370661735946,5.01440120894654,I,5,2.9532302539863,4.65603317090932,
3,79,I,6,4.5197364576729,4.78831678848943,I,5,3.89684069764003,4.70528130628559,
3,80,II,4,5.11262008377311,5.24862514653166,II,5,5.92110518252346,5.11735096283601,
3,81,II,5,2.33491795304395,4.21217011330566,II,3,3.02630796232795,4.78466515489696,
3,82,ii,6,4.59526670774995,4.00276361242785,ii,4,3.8829592369824,5.04397409879291,
,,,,,,,,,,
4,37,I,5,3.87311851359482,4.60458208922973,I,5,3.87311851359482,4.60458208922973,
