"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,108,"IV",4,1.78083945453065,4.46717805021224,"IV",4,1.78083945453065,4.46717805021224,
1,109,"-VII",5,3.21088648929985,4.79709863326843,"-VII",5,3.21088648929985,4.79709863326843,
1,110,"IV",5,0.347527891348264,1.83531045296732,"IV",5,0.347527891348264,1.83531045296732,
1,111,"-VII",7,3.27833804291038,4.49053869970728,"-VII",7,3.27833804291038,4.49053869970728,
1,112,"-VII",5,6.08912511363672,1.83531045296732,"-VII",5,6.08912511363672,1.83531045296732,
1,113,"-VII",4,3.01821540640451,4.98854492269199,"I",4,3.00746295410677,4.98854492269199,0.0107524522977376
1,114,"i",5,4.6799363578584,4.75007962726484,"i",5,6.40254767337806,4.59246620787658,
1,115,"iv",4,4.49375118600895,4.64977877628957,"iv",3,2.1944218033738,4.88679000669472,
1,116,"i",4,4.25343978040464,4.64614925580626,"i",4,2.06350319790713,4.72029035120345,
1,117,"iv",4,1.6584210227146,4.35199928292662,"iv",4,1.23737627665832,3.89218017851439,
1,118,"i",5,3.79228742868882,4.66746852797699,"i",5,1.62856315838618,4.32196144798263,
,,,,,,,,,,
2,163,"IV",4,1.78083945453065,4.46717805021224,"IV",4,1.78083945453065,4.46717805021224,
2,164,"-VII",5,3.21088648929985,4.79709863326843,"-VII",5,3.21088648929985,4.79709863326843,
2,165,"IV",5,0.347527891348264,1.83531045296732,"IV",5,0.347527891348264,1.83531045296732,
2,166,"-VII",7,3.27833804291038,4.49053869970728,"-VII",7,3.27833804291038,4.49053869970728,
2,167,"-VII",5,6.08912511363672,1.83531045296732,"-VII",5,6.08912511363672,1.83531045296732,
2,168,"-VII",4,3.01821540640451,4.98854492269199,"I",4,3.00746295410677,4.98854492269199,0.0107524522977376
2,169,"-VII",5,3.31608521687145,4.75007962726484,"-VII",5,4.00421214940873,4.59246620787658,
2,170,"-VII",5,2.50467743424416,4.68032386506393,"-VII",5,3.38161954325444,3.88679265303453,
2,171,"r",6,3.66559954035402,4.32239662717667,"r",5,3.8646091374808,4.06163621451346,
2,172,"-VII",4,7.1449261774068,2.88373073555447,"-VII",3,6.76621035803099,3.31671677900323,
2,173,"-VI",2,4.93831002793175,5.21765623431063,"-VI",2,4.93831002793175,5.21765623431063,
,,,,,,,,,,
3,53,"-VI",3,5.93796427481451,4.85053739456205,"-VI",3,5.93796427481451,4.85053739456205,
3,54,"v",2,4.77099841857529,5.25227941172378,"v",2,4.77099841857529,5.25227941172378,
3,55,"IV",3,4.21744488098393,4.98360285242364,"IV",3,4.21744488098393,4.98360285242364,
3,56,"-VII",3,5.24242978253131,5.09889988668843,"-VII",3,5.24242978253131,5.09889988668843,
3,57,"IV",3,3.57740871137135,5.1986570186772,"IV",3,3.57740871137135,5.1986570186772,
3,58,"-VII",4,4.20106415585287,4.66197050792676,"V",4,4.18429446559725,4.66197050792676,0.0167696902556145
3,59,"i",4,3.32418225265971,4.46717805021224,"i",4,5.86361678752505,4.61450636321548,
3,60,"iv",5,4.53872709414305,4.26560978319968,"iv",3,3.85516422218842,5.14054765338508,
3,61,"i",4,4.2288855134503,4.64821517920512,"i",4,3.82911269464614,4.67421829401986,
3,62,"iv",4,1.6584210227146,4.35199928292662,"iv",4,2.32466774476472,4.40128904788693,
3,63,"i",5,3.79228742868882,4.66746852797699,"i",5,3.7385246727212,4.78997301656054,
,,,,,,,,,,
4,102,"-VI",3,5.93796427481451,4.85053739456205,"-VI",3,5.93796427481451,4.85053739456205,
4,103,"v",2,4.77099841857529,5.25227941172378,"v",2,4.77099841857529,5.25227941172378,
4,104,"IV",3,4.21744488098393,4.98360285242364,"IV",3,4.21744488098393,4.98360285242364,
4,105,"-VII",3,5.24242978253131,5.09889988668843,"-VII",3,5.24242978253131,5.09889988668843,
4,106,"IV",3,3.57740871137135,5.1986570186772,"IV",3,3.57740871137135,5.1986570186772,
4,107,"-VII",4,4.20106415585287,4.66197050792676,"V",4,4.18429446559725,4.66197050792676,0.0167696902556145
4,108,"IV",4,1.78083945453065,4.46717805021224,"IV",4,3.1574412752256,4.61450636321548,
4,109,"-VII",5,3.21088648929985,4.79709863326843,"-VII",5,6.31923669291385,4.28918202328465,
4,110,"IV",5,0.347527891348264,1.83531045296732,"IV",3,3.21619484082646,5.14231370031452,
4,111,"-VII",7,3.27833804291038,4.49053869970728,"-VII",4,2.86816601694781,4.82455480864797,
4,112,"-VII",5,6.08912511363672,1.83531045296732,"-VII",5,4.58195357579663,4.05307847298548,
,,,,,,,,,,
5,157,"-VI",3,5.93796427481451,4.85053739456205,"-VI",3,5.93796427481451,4.85053739456205,
5,158,"v",2,4.77099841857529,5.25227941172378,"v",2,4.77099841857529,5.25227941172378,
5,159,"IV",3,4.21744488098393,4.98360285242364,"IV",3,4.21744488098393,4.98360285242364,
5,160,"-VII",3,5.24242978253131,5.09889988668843,"-VII",3,5.24242978253131,5.09889988668843,
5,161,"IV",3,3.57740871137135,5.1986570186772,"IV",3,3.57740871137135,5.1986570186772,
5,162,"-VII",4,4.20106415585287,4.66197050792676,"V",4,4.18429446559725,4.66197050792676,0.0167696902556145
5,163,"IV",4,1.78083945453065,4.46717805021224,"IV",4,3.1574412752256,4.61450636321548,
5,164,"-VII",5,3.21088648929985,4.79709863326843,"-VII",5,6.31923669291385,4.28918202328465,
5,165,"IV",5,0.347527891348264,1.83531045296732,"IV",3,3.21619484082646,5.14231370031452,
5,166,"-VII",7,3.27833804291038,4.49053869970728,"-VII",4,2.86816601694781,4.82455480864797,
5,167,"-VII",5,6.08912511363672,1.83531045296732,"-VII",5,4.58195357579663,4.05307847298548,
,,,,,,,,,,
6,24,"i",10,2.13400610266133,4.29572793904884,"i",10,2.13400610266133,4.29572793904884,
6,25,"iv",4,0.365778749834763,1.8985632438455,"iv",4,0.365778749834763,1.8985632438455,
6,26,"-VII",10,4.6162837861002,4.29572793904884,"-VII",10,4.6162837861002,4.29572793904884,
6,27,"-III",4,4.47205560851233,3.05236169927249,"-III",4,4.47205560851233,3.05236169927249,
6,28,"-VII",4,4.98516596499299,4.74409933094022,"-VII",4,4.98516596499299,4.74409933094022,
6,29,"-III",3,3.39645694623028,4.95967373358398,"i",3,3.37505496572982,4.95967373358398,0.0214019805004591
6,30,"i",4,3.59715221700318,5.03801806072714,"i",4,3.35582339075965,4.86184580899495,
6,31,"iv",4,4.93257965002397,2.99626711591187,"iv",5,2.85822607851825,4.77995982941373,
6,32,"i",4,4.78717765050972,4.65506421308732,"i",6,1.94535672136405,4.38204342133271,
6,33,"iv",3,2.64182416319624,4.87683488641301,"iv",5,1.51884294603793,4.06193909811269,
6,34,"i",4,3.53281162208205,5.03414302114577,"i",6,4.07855132092038,4.24775101480454,
,,,,,,,,,,
7,40,"i",10,2.13400610266133,4.29572793904884,"i",10,2.13400610266133,4.29572793904884,
7,41,"iv",4,0.365778749834763,1.8985632438455,"iv",4,0.365778749834763,1.8985632438455,
7,42,"-VII",10,4.6162837861002,4.29572793904884,"-VII",10,4.6162837861002,4.29572793904884,
7,43,"-III",4,4.47205560851233,3.05236169927249,"-III",4,4.47205560851233,3.05236169927249,
7,44,"-VII",4,4.98516596499299,4.74409933094022,"-VII",4,4.98516596499299,4.74409933094022,
7,45,"-III",3,3.39645694623028,4.95967373358398,"i",3,3.37505496572982,4.95967373358398,0.0214019805004591
7,46,"i",4,3.59715221700318,5.03801806072714,"i",4,3.35582339075965,4.86184580899495,
7,47,"iv",4,4.93257965002397,2.99626711591187,"iv",5,2.85822607851825,4.77995982941373,
7,48,"i",4,4.78717765050972,4.65506421308732,"i",6,1.94535672136405,4.38204342133271,
7,49,"-VII",3,4.15011627632275,4.87683488641301,"-VII",5,4.06540371026249,4.06193909811269,
7,50,"-VI",4,3.21740486978283,4.35146680016545,"-VI",4,3.94207962045608,3.09647712368295,
,,,,,,,,,,
8,73,"i",10,2.13400610266133,4.29572793904884,"i",10,2.13400610266133,4.29572793904884,
8,74,"iv",4,0.365778749834763,1.8985632438455,"iv",4,0.365778749834763,1.8985632438455,
8,75,"-VII",10,4.6162837861002,4.29572793904884,"-VII",10,4.6162837861002,4.29572793904884,
8,76,"-III",4,4.47205560851233,3.05236169927249,"-III",4,4.47205560851233,3.05236169927249,
8,77,"-VII",4,4.98516596499299,4.74409933094022,"-VII",4,4.98516596499299,4.74409933094022,
8,78,"-III",3,3.39645694623028,4.95967373358398,"i",3,3.37505496572982,4.95967373358398,0.0214019805004591
8,79,"i",4,3.59715221700318,5.03801806072714,"i",4,3.35582339075965,4.86184580899495,
8,80,"iv",4,4.93257965002397,2.99626711591187,"iv",5,2.85822607851825,4.77995982941373,
8,81,"i",4,4.78717765050972,4.65506421308732,"i",6,1.94535672136405,4.38204342133271,
8,82,"iv",3,2.64182416319624,4.87683488641301,"iv",5,1.51884294603793,4.06193909811269,
8,83,"i",4,3.53281162208205,5.03414302114577,"i",6,4.07855132092038,4.24775101480454,
,,,,,,,,,,
9,89,"i",10,2.13400610266133,4.29572793904884,"i",10,2.13400610266133,4.29572793904884,
9,90,"iv",4,0.365778749834763,1.8985632438455,"iv",4,0.365778749834763,1.8985632438455,
9,91,"-VII",10,4.6162837861002,4.29572793904884,"-VII",10,4.6162837861002,4.29572793904884,
9,92,"-III",4,4.47205560851233,3.05236169927249,"-III",4,4.47205560851233,3.05236169927249,
9,93,"-VII",4,4.98516596499299,4.74409933094022,"-VII",4,4.98516596499299,4.74409933094022,
9,94,"-III",3,3.39645694623028,4.95967373358398,"i",3,3.37505496572982,4.95967373358398,0.0214019805004591
9,95,"i",4,3.59715221700318,5.03801806072714,"i",4,3.35582339075965,4.86184580899495,
9,96,"iv",4,4.93257965002397,2.99626711591187,"iv",5,2.85822607851825,4.77995982941373,
9,97,"i",4,4.78717765050972,4.65506421308732,"i",6,1.94535672136405,4.38204342133271,
9,98,"-VII",3,4.15011627632275,4.87683488641301,"-VII",5,4.06540371026249,4.06193909811269,
9,99,"-VI",4,3.21740486978283,4.35146680016545,"-VI",4,3.94207962045608,3.09647712368295,
,,,,,,,,,,
10,128,"i",10,2.13400610266133,4.29572793904884,"i",10,2.13400610266133,4.29572793904884,
10,129,"iv",4,0.365778749834763,1.8985632438455,"iv",4,0.365778749834763,1.8985632438455,
10,130,"-VII",10,4.6162837861002,4.29572793904884,"-VII",10,4.6162837861002,4.29572793904884,
10,131,"-III",4,4.47205560851233,3.05236169927249,"-III",4,4.47205560851233,3.05236169927249,
