Comparison,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance
1,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,
1,95,V,5,2.67739601890762,4.72381546321395,V,5,2.67739601890762,4.72381546321395,
1,96,IV,6,3.47411578716776,4.84630219357225,IV,6,3.47411578716776,4.84630219357225,
1,97,IV,7,1.587582364716,3.61713667845031,IV,7,1.587582364716,3.61713667845031,
1,98,vio,8,8.49309420997538,3.0547343408028,vio,8,8.49309420997538,3.0547343408028,
1,99,vio,3,7.49677511304137,3.95336642363795,V+,3,7.49677511304137,3.95336642363795,0
1,100,ii,1,4.93073733756289,5.38005949656518,ii,1,6.13086384277509,5.17864112361203,
1,101,V,2,2.17001818224297,4.98730816623617,V,1,4.40716669608686,5.44781545084432,
1,102,I,3,2.09811827936116,4.86825837217494,I,2,3.79310019011585,5.3181185186345,
1,103,V,4,4.73384775045192,5.16886641745679,V,3,4.5720215302861,5.39950490908621,
1,104,vi,4,3.5423975109525,4.95410927761081,vi,4,3.5423975109525,4.95410927761081,
,,,,,,,,,,
2,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,
2,95,V,5,2.67739601890762,4.72381546321395,V,5,2.67739601890762,4.72381546321395,
2,96,IV,6,3.47411578716776,4.84630219357225,IV,6,3.47411578716776,4.84630219357225,
2,97,IV,7,1.587582364716,3.61713667845031,IV,7,1.587582364716,3.61713667845031,
2,98,vio,8,8.49309420997538,3.0547343408028,vio,8,8.49309420997538,3.0547343408028,
2,99,vio,3,7.49677511304137,3.95336642363795,#io,3,7.49677511304137,3.95336642363795,0
2,100,ii,1,4.93073733756289,5.38005949656518,ii,1,2.74346926670143,4.94106151654308,
2,101,V,2,2.17001818224297,4.98730816623617,V,2,3.84955655574817,5.28217124971234,
2,102,I,3,2.09811827936116,4.86825837217494,I,3,4.09004741295651,4.85882006770952,
2,103,V,4,4.73384775045192,5.16886641745679,V,3,4.5720215302861,5.39950490908621,
2,104,vi,4,3.5423975109525,4.95410927761081,vi,4,3.5423975109525,4.95410927761081,
,,,,,,,,,,
3,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,
3,95,V,5,2.67739601890762,4.72381546321395,V,5,2.67739601890762,4.72381546321395,
3,96,IV,6,3.47411578716776,4.84630219357225,IV,6,3.47411578716776,4.84630219357225,
3,97,IV,7,1.587582364716,3.61713667845031,IV,7,1.587582364716,3.61713667845031,
