"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,83,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
1,84,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
1,85,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
1,86,"-III",6,5.74314785665871,4.06986524890371,"-III",6,5.74314785665871,4.06986524890371,
1,87,"-VII",4,3.5522755200246,4.50226883549097,"-VII",4,3.5522755200246,4.50226883549097,
1,88,"I",4,2.231938690238,4.06298702575596,"-III",4,2.23927008598656,4.06298702575596,0.00733139574855546
1,89,"-III",5,2.3694609627819,4.31489709163074,"-III",4,6.55274597047609,2.11867104545506,
1,90,"-VII",4,0.287913513196347,1.5970018823484,"-VII",3,4.35453004280108,5.22279744605835,
1,91,"I",7,1.83671541003018,2.94408570979025,"I",4,4.75871824163323,3.95420875686302,
1,92,"-VI",7,5.36995003687302,4.28162394647432,"-VI",3,4.71476385501904,5.0560058441896,
1,93,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
,,,,,,,,,,
2,45,"I",7,0.638652477144306,2.3915147727811,"I",7,0.638652477144306,2.3915147727811,
2,46,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
2,47,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
2,48,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
2,49,"I",6,3.02321875575439,4.06986524890371,"I",6,3.02321875575439,4.06986524890371,
2,50,"V",6,4.74514920339388,4.81569110627872,"vi",6,4.75270054967626,4.81569110627872,0.00755134628237819
2,51,"I",5,2.58525659631157,4.65402991396026,"I",5,4.11657285484258,4.66205770060782,
2,52,"V",5,2.26245346565624,4.85240480925827,"V",5,4.42934144692317,4.13643381740266,
2,53,"I",6,1.63014228592481,4.2557779663303,"I",4,2.62217721801407,4.81115158566269,
2,54,"V",7,1.57246320535531,3.95865100481729,"V",5,3.7649872668377,4.98146830154071,
2,55,"I",8,1.38726893932582,3.89270590156055,"I",5,1.93662836241047,4.45819903548751,
,,,,,,,,,,
3,6,"I",5,1.2616926996204,3.88650960547304,"I",5,1.2616926996204,3.88650960547304,
3,7,"I",6,1.88979591077031,4.66416159969298,"I",6,1.88979591077031,4.66416159969298,
3,8,"I",7,1.81674642526517,4.54676262824429,"I",7,1.81674642526517,4.54676262824429,
3,9,"I",8,1.43140257348363,4.23491769009239,"I",8,1.43140257348363,4.23491769009239,
3,10,"I",9,2.14614613476184,4.76682565760099,"I",9,2.14614613476184,4.76682565760099,
3,11,"-VII",10,5.50742554219851,3.79674074944527,"ii",10,5.51595576920813,3.79674074944527,0.00853022700961681
3,12,"IV",10,2.00094678872866,3.95787949540946,"IV",10,5.69065409129663,3.2993857003158,
3,13,"I",8,0.466349558075479,2.09957380675398,"I",5,1.45048326488247,3.79770762392238,
3,14,"I",10,1.31126744180239,3.74622244481162,"I",6,2.01340653938389,4.11469142661664,
3,15,"-VII",10,1.48450313394715,3.82327464897038,"-VII",7,5.53832035118359,4.88819020335098,
3,16,"IV",10,1.3728235430386,2.93744056349749,"IV",4,3.09880715285803,4.48414359859553,
,,,,,,,,,,
4,81,"-VII",4,0.287913513196347,1.5970018823484,"-VII",4,0.287913513196347,1.5970018823484,
4,82,"I",7,0.638652477144306,2.3915147727811,"I",7,0.638652477144306,2.3915147727811,
4,83,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
4,84,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
4,85,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
4,86,"-III",6,5.74314785665871,4.06986524890371,"ii",6,5.72592102521593,4.06986524890371,0.0172268314427821
4,87,"-VII",4,3.5522755200246,4.50226883549097,"-VII",4,5.68261367926063,4.75913199929595,
4,88,"I",4,2.231938690238,4.06298702575596,"I",3,4.50617047688822,4.93743779903824,
4,89,"-III",5,2.3694609627819,4.31489709163074,"-III",3,5.12346733583835,5.03917380687182,
4,90,"-VII",4,0.287913513196347,1.5970018823484,"-VII",3,3.26012685507377,5.01211171527651,
4,91,"I",7,1.83671541003018,2.94408570979025,"I",4,2.231938690238,4.06298702575596,
,,,,,,,,,,
5,81,"-VII",4,0.287913513196347,1.5970018823484,"-VII",4,0.287913513196347,1.5970018823484,
5,82,"I",7,0.638652477144306,2.3915147727811,"I",7,0.638652477144306,2.3915147727811,
5,83,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
5,84,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
5,85,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
5,86,"-III",6,5.74314785665871,4.06986524890371,"-VII",6,5.72117293018279,4.06986524890371,0.021974926475921
5,87,"-VII",4,3.5522755200246,4.50226883549097,"-VII",3,3.58498666140846,4.60811905505606,
5,88,"I",4,2.231938690238,4.06298702575596,"I",4,1.96115449803333,4.51299082254617,
5,89,"-III",5,2.3694609627819,4.31489709163074,"-III",5,3.60805124762069,4.88785757202263,
5,90,"-VII",4,0.287913513196347,1.5970018823484,"-VII",6,1.56573988524212,4.13109417477297,
5,91,"I",7,1.83671541003018,2.94408570979025,"I",5,2.63730449864165,3.47903422417983,
,,,,,,,,,,
6,84,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
6,85,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
6,86,"-III",6,5.74314785665871,4.06986524890371,"-III",6,5.74314785665871,4.06986524890371,
6,87,"-VII",4,3.5522755200246,4.50226883549097,"-VII",4,3.5522755200246,4.50226883549097,
6,88,"I",4,2.231938690238,4.06298702575596,"I",4,2.231938690238,4.06298702575596,
6,89,"-III",5,2.3694609627819,4.31489709163074,"-VII",5,2.34082525076081,4.31489709163074,0.0286357120210874
6,90,"-VII",4,0.287913513196347,1.5970018823484,"-VII",5,5.09373386597285,2.37075511506531,
6,91,"I",7,1.83671541003018,2.94408570979025,"I",4,1.96115449803333,4.51299082254617,
6,92,"-VI",7,5.36995003687302,4.28162394647432,"-VI",5,5.0410776461557,4.88785757202263,
6,93,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.44911683755471,4.24756582666117,
6,94,"r",5,2.2754671150639,3.99179444241593,"r",5,3.39743145767742,3.54983412321587,
,,,,,,,,,,
7,96,"-VII",4,3.9649456741313,3.92150973856273,"-VII",4,3.9649456741313,3.92150973856273,
7,97,"IV",4,3.7319051400844,3.19717890516006,"IV",4,3.7319051400844,3.19717890516006,
7,98,"I",4,1.58385424006784,4.37605303332226,"I",4,1.58385424006784,4.37605303332226,
7,99,"I",5,3.80255180416065,4.30930148933696,"I",5,3.80255180416065,4.30930148933696,
7,100,"-VII",5,3.30611860248896,4.80985164171843,"-VII",5,3.30611860248896,4.80985164171843,
7,101,"IV",6,2.48109744399619,4.17625081029757,"I",6,2.51428312185113,4.17625081029757,0.0331856778549406
7,102,"I",7,2.89454805799674,4.8489433326293,"I",7,1.79624118447706,4.17879712210295,
7,103,"I",8,2.49038030113397,4.5442167103459,"I",8,2.24245769893836,4.39294438317731,
7,104,"-VII",9,3.16542407678709,4.77634680596137,"-VII",8,2.68526142302275,3.2437930916817,
7,105,"IV",10,0.210454744309164,1.0815018380908,"IV",6,5.53310327724461,1.11086794017245,
7,106,"I",10,0.577706149277987,2.28151184927444,"I",6,1.65332234833675,4.21219374018284,
,,,,,,,,,,
8,45,"I",7,0.638652477144306,2.3915147727811,"I",7,0.638652477144306,2.3915147727811,
8,46,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
8,47,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
8,48,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
8,49,"I",6,3.02321875575439,4.06986524890371,"I",6,3.02321875575439,4.06986524890371,
8,50,"V",6,4.74514920339388,4.81569110627872,"IV",6,4.79443603802019,4.81569110627872,0.0492868346263124
8,51,"I",5,2.58525659631157,4.65402991396026,"I",4,3.59615634459494,5.02680762493943,
8,52,"V",5,2.26245346565624,4.85240480925827,"V",5,3.23588602914531,4.89058030834085,
8,53,"I",6,1.63014228592481,4.2557779663303,"I",6,1.87809456353482,4.26655591423562,
8,54,"V",7,1.57246320535531,3.95865100481729,"V",7,3.32534036844985,3.96770253191435,
8,55,"I",8,1.38726893932582,3.89270590156055,"I",7,2.06188487605238,4.4337514572808,
,,,,,,,,,,
9,46,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
9,47,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
9,48,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
9,49,"I",6,3.02321875575439,4.06986524890371,"I",6,3.02321875575439,4.06986524890371,
9,50,"V",6,4.74514920339388,4.81569110627872,"V",6,4.74514920339388,4.81569110627872,
9,51,"I",5,2.58525659631157,4.65402991396026,"V",5,2.52434204474415,4.65402991396026,0.0609145515674219
9,52,"V",5,2.26245346565624,4.85240480925827,"V",5,1.04070607340682,3.61464090661352,
9,53,"I",6,1.63014228592481,4.2557779663303,"I",6,3.5785103272438,2.97913104678416,
9,54,"V",7,1.57246320535531,3.95865100481729,"V",6,4.00455310582119,4.67395816967099,
9,55,"I",8,1.38726893932582,3.89270590156055,"I",6,3.21132735344423,4.08042827113205,
9,56,"V",9,1.29425199883734,3.66677643445386,"V",6,2.66051629645752,4.62750272135892,
,,,,,,,,,,
10,26,"-VI",8,6.23489052445096,3.04504311384969,"-VI",8,6.23489052445096,3.04504311384969,
10,27,"-VII",4,1.91478144464676,4.66038924659977,"-VII",4,1.91478144464676,4.66038924659977,
10,28,"I",5,2.11238029274494,3.99179444241593,"I",5,2.11238029274494,3.99179444241593,
10,29,"I",6,3.02321875575439,4.06986524890371,"I",6,3.02321875575439,4.06986524890371,
10,30,"I",6,2.63794138754555,4.81569110627872,"I",6,2.63794138754555,4.81569110627872,
10,31,"-VII",6,5.13884447255583,3.53233264337896,"IV",6,5.07143080155711,3.53233264337896,0.0674136709987136
10,32,"IV",5,2.79433352351165,4.36236388527499,"IV",5,4.17089707170427,4.88561511537053,
10,33,"I",6,1.65332234833675,4.21219374018284,"I",5,3.6247651735298,5.0640330450981,
10,34,"I",7,2.82151066212138,4.32171313070999,"I",6,2.45246976724327,4.74557529310142,
10,35,"-VII",7,2.60962745500179,4.45321457091375,"-VII",7,4.7579444286147,5.03755390042673,
10,36,"IV",8,1.38728756020117,3.27398207240233,"IV",6,0.68507615522906,2.57485954210366,
,,,,,,,,,,
11,16,"IV",10,1.3728235430386,2.93744056349749,"IV",10,1.3728235430386,2.93744056349749,
11,17,"I",9,0.715017429436287,2.83654989686566,"I",9,0.715017429436287,2.83654989686566,
11,18,"I",10,1.76205610345595,4.05378745362737,"I",10,1.76205610345595,4.05378745362737,
11,19,"I",10,3.40449304586496,3.19440673763496,"I",10,3.40449304586496,3.19440673763496,
11,20,"-III",10,5.52953024607592,4.56898445938771,"-III",10,5.52953024607592,4.56898445938771,
11,21,"-VII",5,3.19426261641679,4.78894565195658,"-III",5,3.12454607617721,4.78894565195658,0.0697165402395838
11,22,"I",6,2.86628457068378,3.77364579096519,"I",6,3.09401486448173,4.20789996203982,
11,23,"-III",6,1.36707474643631,3.80800700359076,"-III",6,5.41732489319249,3.34937394578071,
